EFO:0000274	atopic eczema
EFO:0010353	diacylglycerol 34:2 measurement
EFO:0010354	diacylglycerol 36:1 measurement
EFO:0010355	diacylglycerol 36:2 measurement
EFO:0005297	Granulomatosis with Polyangiitis
EFO:0010386	phosphatidylcholine 38:4 measurement
EFO:0010387	phosphatidylcholine 38:5 measurement
EFO:0010388	phosphatidylcholine 38:6 measurement
EFO:0010389	phosphatidylcholine 40:6 measurement
EFO:0010384	phosphatidylcholine 38:2 measurement
EFO:0010385	phosphatidylcholine 38:3 measurement
EFO:0004724	carotid-femoral pulse wave velocity
EFO:0005529	Chagas cardiomyopathy
EFO:0005528	parasitemia measurement
EFO:0010356	lysophosphatidylcholine 14:0 measurement
EFO:0010358	lysophosphatidylcholine 16:1 measurement
EFO:0004249	meningococcal infection
EFO:0010361	lysophosphatidylcholine 18:2 measurement
EFO:0010362	lysophosphatidylcholine 20:3 measurement
EFO:0010363	lysophosphatidylcholine 20:4 measurement
EFO:0010359	lysophosphatidylcholine 18:0 measurement
EFO:0010360	lysophosphatidylcholine 18:1 measurement
EFO:0010365	lysophosphatidylcholine 22:6 measurement
EFO:0010366	lysophosphatidylethanolamine 16:0 measurement
EFO:0010367	lysophosphatidylethanolamine 18:0 measurement
MONDO:0015486	keratoconus
EFO:0010364	lysophosphatidylcholine 20:5 measurement
EFO:0010369	lysophosphatidylethanolamine 18:2 measurement
EFO:0010370	lysophosphatidylethanolamine 20:4 measurement
EFO:0010371	lysophosphatidylethanolamine 22:6 measurement
EFO:0010368	lysophosphatidylethanolamine 18:1 measurement
EFO:0005250	occupation-related stress disorder
EFO:0007787	plasma betaine measurement
EFO:0010372	phosphatidylcholine 32:0 measurement
EFO:0005672	cystatin C measurement, acute coronary syndrome
EFO:0003100	peripheral neuropathy
EFO:0010374	phosphatidylcholine 32:2 measurement
EFO:0010375	phosphatidylcholine 34:1 measurement
EFO:0010376	phosphatidylcholine 34:2 measurement
EFO:0010373	phosphatidylcholine 32:1 measurement
EFO:0010377	phosphatidylcholine 34:3 measurement
EFO:0010378	phosphatidylcholine 34:4 measurement
EFO:0010379	phosphatidylcholine 36:1 measurement
EFO:0010381	phosphatidylcholine 36:3 measurement
EFO:0010382	phosphatidylcholine 36:4 measurement
EFO:0010383	phosphatidylcholine 36:5 measurement
EFO:0005654	velocity of sound measurement
EFO:0005419	contrast sensitivity measurement
EFO:0006876	seasonality measurement
EFO:0003827	pulmonary embolism
EFO:1001495	Ischemic stroke, small artery occlusion
EFO:1001022	low tension glaucoma
MONDO:0015926	trait in response to silicon dioxide, pneumoconiosis
EFO:0005659	plasma beta-amyloid 1-40 measurement
EFO:0005660	plasma beta-amyloid 1-42 measurement
EFO:0004635	leptin receptor measurement
EFO:0006829	response to transplant, GFR change measurement
EFO:1000059	cervical artery dissection
EFO:0006511	Kashin-Beck disease
EFO:0006789	typhoid fever
EFO:0005407	psychosis
EFO:0005851	height-adjusted body mass index
EFO:0005895	ossification of the posterior longitudinal ligament of the spine
MONDO:0019091	bronchopulmonary dysplasia
EFO:0002610	cocaine dependence
EFO:0005627	perianal Crohn's disease
EFO:0005846	cryoglobulinemia
EFO:0006833	glucose homeostasis measurement, glucose effectiveness measurement
EFO:0005661	Child Behaviour Checklist assessment
EFO:0005761	lupus nephritis
EFO:0006510	Herpes Zoster
EFO:0005320	contact dermatitis due to nickel
EFO:0006826	trans fatty acid measurement, trans/trans-18:2 fatty acid measurement
EFO:0006505	chronic bronchitis
EFO:0004991	Myasthenia gravis
EFO:0006821	cis/trans-18:2 fatty acid measurement, trans fatty acid measurement
EFO:0006822	trans fatty acid measurement, trans-16:1n-7 fatty acid measurement
EFO:0005936	underweight body mass index status
EFO:0005935	overweight body mass index status
EFO:0004282	thoracic aortic aneurysm
EFO:0005043	cardiac troponin T measurement
EFO:0006795	serum VEGFR2 concentration measurement
EFO:0007035	seropositivity measurement, Chlamydia pneumoniae seropositivity
EFO:0007039	seropositivity measurement, human herpesvirus 8 seropositivity
EFO:0007037	cytomegalovirus seropositivity
EFO:0007036	herpes virus seropositivity
EFO:0006906	trait in response to abacavir, virologic response measurement
MONDO:0020476	mesial temporal lobe epilepsy with hippocampal sclerosis
EFO:0006315	trait in response to thiopurine, thiopurine immunosuppressant-induced pancreatitis
EFO:0006793	cerebrospinal fluid biomarker measurement, t-tau measurement, left inferior lateral ventricle volume measurement
EFO:0003914	atherosclerosis
EFO:0005412	functional impairment measurement
EFO:0006828	plasma renin activity measurement
EFO:0003834	cutaneous lupus erythematosus
EFO:1000648	developmental dysplasia of the hip
EFO:0007772	calcaneal bone quantitative ultrasound measurement
EFO:0007700	exploratory eye movement measurement
EFO:0007704	manic episode measurement, depressive episode measurement
EFO:0007709	p-tau:beta-amyloid 1-42 ratio measurement
EFO:0006801	dementia, Alzheimer's disease neuropathologic change
EFO:0006799	Lewy body dementia, Lewy body dementia measurement
EFO:0006791	vascular brain injury
EFO:1000478	Pituitary Gland Adenoma
EFO:0007626	emphysema imaging measurement
EFO:0007628	gas trapping measurement
EFO:0007646	amyloid plaque accumulation rate
EFO:0000203	multiple myeloma, monoclonal gammopathy
MONDO:0010805	bladder exstrophy
EFO:0007743	influenza A severity measurement
EFO:1001488	influenza A (H1N1)
EFO:1001250	rotator cuff tear
HP:0001634	Mitral valve prolapse
EFO:0009698	gestational blood glucose measurement
EFO:0009959	diverticular disease
MONDO:0002253	spondylosis
MONDO:0024290	enuresis
EFO:0600024	Herpes Zoster, response to tofacitinib
EFO:1001295	microscopic colitis
EFO:1000391	Nasal Cavity Polyp
Orphanet:1945	Rolandic epilepsy
EFO:0007041	obese body mass index status
MONDO:0024647	urolithiasis
EFO:0004145	response to statin, myopathy
MONDO:0019938	anorectal malformation
EFO:0010140	opioid overdose severity measurement
EFO:0009352	Anti-Helicobacter pylori IgG measurement
EFO:0009339	Herpes simplex virus 2 seropositivity
EFO:0009350	Anti-herpes simplex virus 2 IgG measurement
EFO:0009353	Anti-Toxoplasma gondii IgG measurement
EFO:0009340	Varicella zoster virus seropositivity
EFO:0009351	Anti-varicella zoster virus IgG measurement
EFO:0009347	Anti-cytomegalovirus IgG measurement
EFO:0000373	congestive heart failure
EFO:0004289	lymphoid leukemia
EFO:0021491	caudate volume change measurement
EFO:0005952	non-Hodgkins lymphoma
MONDO:0018469	pulmonary non-tuberculous mycobacterial infection
EFO:0021492	hippocampus volume change measurement
EFO:0021524	non-alcoholic pancreatitis
EFO:0005689	non-high density lipoprotein cholesterol measurement
EFO:0007229	cryptococcosis
EFO:0010098	anxiety, stress-related disorder
EFO:1000971	hyperemesis gravidarum
EFO:1001132	pseudotumor cerebri
EFO:0009132	cholesterol efflux capacity measurement
EFO:0009382	metabolically healthy obesity
EFO:0009961	Insulinogenic index measurement
EFO:0009658	response to radiation, adverse effect
EFO:0006946	behavioural disinhibition measurement
EFO:0021536	irritable bowel syndrome symptom measurement
EFO:0010129	breakfast skipping measurement
EFO:0009705	response to non-steroidal anti-inflammatory, small intestine enteropathy
EFO:0010071	cardiac troponin I measurement
MONDO:0011705	lymphangioleiomyomatosis
EFO:1001754	Abruptio Placentae
EFO:0009276	ventricular ectopy
EFO:0009277	supraventricular ectopy
EFO:0009130	clostridium difficile infection
EFO:1001267	Aortic Coarctation
EFO:0009369	diffusing capacity of the lung for carbon monoxide
EFO:0010231	sterol measurement
EFO:0011031	intestinal permeability measurement
EFO:0009460	rheumatoid arthritis, ACPA-negative rheumatoid arthritis
MONDO:0021084	vision disorder
MONDO:0019200	retinitis pigmentosa
MONDO:0006715	coronary stenosis
MONDO:0015494	isolated dystonia
EFO:1001164	SAPHO syndrome
EFO:1001354	Kleine-Levin Syndrome
MONDO:0000153	transposition of the great arteries
EFO:0600032	congenital right-sided heart lesions
MONDO:0002078	heart septal defect
EFO:0020066	diacylglycerol 38:4 measurement
EFO:0020067	diacylglycerol 38:5 measurement
EFO:0020065	diacylglycerol 38:3 measurement
EFO:0020058	diacylglycerol 34:0 measurement
EFO:0020069	diacylglycerol 44:7 measurement
EFO:0020055	diacylglycerol 32.2 measurement
EFO:0020063	diacylglycerol 36:4 measurement
EFO:0020064	diacylglycerol 36:5 measurement
EFO:0020062	diacylglycerol 36:3 measurement
EFO:0020068	diacylglycerol 42:7 measurement
EFO:0020070	diacylglycerol 44:6 measurement
EFO:0020056	diacylglycerol 33:1 measurement
EFO:0020059	diacylglycerol 34:3 measurement
EFO:0003106	pneumonia
EFO:0003781	carotid artery disease
MONDO:0021081	anti-NMDA receptor encephalitis
EFO:0020103	childhood gender nonconformity
MONDO:0021392	polyp of large intestine
MONDO:0002494	age at diagnosis, substance-related disorder
EFO:0801077	cystic fibrosis-related diabetes
EFO:0009355	Anti-measles virus IgG measurement
EFO:0801089	anti-influenza A subtype H1N1 IgG measurement
EFO:0801090	anti-influenza A subtype H3N2 IgG measurement
EFO:0003964	hip fracture
EFO:1000938	fibromuscular dysplasia
EFO:1001422	Sertoli Cell-Only Syndrome
EFO:1000049	pulmonary tuberculosis
OBA:2050099	age of onset of anorexia nervosa
MONDO:0001627	dementia
EFO:0007462	REM sleep behavior disorder
EFO:0801140	C36:4 phosphatidylethanolamine measurement
EFO:0801146	C38:6 phosphatidylethanolamine measurement
EFO:0003777	heart disease
EFO:0004198	skin neoplasm
EFO:1000653	sarcopenia
EFO:0010814	proinsulin measurement
EFO:0803368	internet addiction disorder
OBA:2001015	age of onset of childhood onset asthma
OBA:2001001	age of onset of asthma
EFO:1001304	Dental enamel hypoplasia
MONDO:0026045	prurigo nodularis
EFO:0803370	photoreceptor cell layer thickness measurement
EFO:1000860	cerebral atherosclerosis
MONDO:0100431	migraine without aura
EFO:0020095	trochanter bone mineral density
EFO:0003868	mouth neoplasm
EFO:0600095	primary dental caries
EFO:0021816	right ventricular ejection fraction measurement
EFO:0021817	right ventricular stroke volume measurement
EFO:0010555	left ventricular stroke volume measurement
EFO:0010556	Left ventricular mass to end-diastolic volume ratio
EFO:0007236	diffuse idiopathic skeletal hyperostosis
EFO:0007428	periodic limb movement disorder
EFO:0007323	inclusion body myositis
EFO:0600038	plasma clozapine measurement
EFO:0600039	plasma N-desmethylclozapine measurement
EFO:0600040	plasma clozapine-to-N-desmethylclozapine ratio measurement
EFO:0009565	radiation-induced disorder
EFO:0001666	aortic aneurysm
MONDO:0002462	glomerulonephritis
EFO:0004799	cholelithiasis
EFO:1001513	liver neoplasm
EFO:0000538	hypertrophic cardiomyopathy
EFO:0004283	goiter
MONDO:0008277	stomach polyp
EFO:0009454	duodenal ulcer, gastric ulcer
EFO:0003014	breast fibrocystic disease
EFO:0006862	Meniere disease
EFO:1000018	bladder disease
EFO:0003877	sleep apnea
EFO:0007510	tinea
EFO:0004276	Stevens-Johnson syndrome
EFO:0003833	brain neoplasm
MONDO:0004822	bronchiectasis
EFO:0009661	bronchitis
EFO:0009545	esophageal varices
EFO:0007167	Bell's palsy
MONDO:0021416	polyp of gallbladder
MONDO:0021400	polyp of colon
EFO:0005319	contact dermatitis
EFO:1000025	cystitis
EFO:1001869	dysentery
MONDO:0002076	pneumothorax
EFO:0007490	spinal stenosis
EFO:0000713	subarachnoid hemorrhage
EFO:0009551	heart valve disease
EFO:0004143	carpal tunnel syndrome
EFO:0009562	polyneuropathy
EFO:1000997	iritis
EFO:0009448	pulmonary fibrosis
EFO:0003966	eye disease
EFO:0000701	skin disease
EFO:1000869	chronic interstitial cystitis
EFO:1001141	pyelonephritis
EFO:0005531	urticaria
EFO:1001393	Periodontal Pocket
EFO:1001864	uterine prolapse
EFO:1001231	uveitis
OBA:2001012	age of onset of type 1 diabetes mellitus
EFO:1000906	dry eye syndrome
EFO:0600019	COVID-19 symptoms measurement
EFO:0020097	QRS-T angle
EFO:1000910	dysplasia of cervix
EFO:0009290	left ventricular mass index
EFO:1000627	thyroid disease
MONDO:0024664	hypertension, pregnancy-induced
EFO:0009287	interventricular septum thickness
MONDO:0001039	tonsillitis
EFO:0007429	peritonsillar abscess
EFO:0803377	metachronous colorectal adenoma
EFO:0008521	rhinitis
MONDO:0004867	upper respiratory tract disorder
MONDO:0002436	nasal disorder
MONDO:0000368	extrapulmonary tuberculosis
EFO:0009540	dental pulp disease
MONDO:0020592	disorder of pharynx
EFO:0007338	Lassa fever
EFO:0020075	urine glucose measurement
EFO:0020881	glucose change measurement
MONDO:0004235	diverticulitis
EFO:0009435	response to TNF antagonist, arthritis disease activity score measurement
MONDO:0001422	primary aldosteronism
EFO:0006803	vasculitis
EFO:0009396	hippocampal CA4 volume
EFO:0009402	hippocampus fimbria volume
EFO:0010083	dentate gyrus volume measurement
EFO:0009395	hippocampal CA3 volume
EFO:0009394	hippocampal CA1 volume
EFO:0009401	hippocampal amigdala transition area volume
EFO:0009397	hippocampus molecular layer volume
EFO:0009405	parasubiculum volume
EFO:0009400	presubiculum volume
EFO:0009399	subiculum volume
OBA:2001029	age of onset of multiple sclerosis
EFO:1000710	hidradenitis suppurativa
EFO:0009681	post term pregnancy
EFO:0009682	pregnancy disorder
EFO:1001892	nervousness, generalized anxiety disorder
EFO:0001668	human papilloma virus infection
EFO:0004712	podoconiosis
MONDO:0010383	fragile X syndrome
EFO:0009392	glucose metabolism decline measurement
MONDO:0012061	familial sick sinus syndrome
MONDO:0041052	postherpetic neuralgia
EFO:0008399	mean fractional anisotropy measurement
MONDO:0019472	extranodal nasal NK/T cell lymphoma
EFO:0009784	central serous retinopathy
Orphanet:101960	Genetic chronic primary adrenal insufficiency
EFO:0009759	Chronic Obstructive Asthma
EFO:0009855	frontal fibrosing alopecia
EFO:0009177	myopic maculopathy severity measurement
EFO:0009441	Waldenstrom macroglobulinemia
EFO:0009704	response to radiation, radiation-induced brain injury
EFO:0009357	Anti-rubella virus IgG measurement
EFO:0008464	glucose-dependent insulinotropic peptide measurement
EFO:0008465	glucagon-like peptide-1 measurement
MONDO:0004247	peptic ulcer disease
MONDO:0001437	pulmonary alveolar proteinosis
EFO:0005046	cutaneous Leishmaniasis
EFO:0009706	type 1 diabetes mellitus, latent autoimmune diabetes in adults
EFO:0001425	ischemic cardiomyopathy
EFO:0009783	carotid atherosclerosis
EFO:0009267	delirium
EFO:0009752	Alzheimer disease, visuospatial impairment
EFO:1001282	Candidemia
EFO:0600031	response to benznidazole
EFO:0005585	shigellosis
EFO:0010080	geographic atrophy lesion growth
EFO:0009410	uterine fibroid measurement
EFO:0009403	granule cell layer dentate gyrus volume
EFO:0009398	hippocampal tail volume
EFO:0009404	hippocampal fissure volume
EFO:0010060	chronic human papillomavirus infection
EFO:0011053	response to immune checkpoint inhibitor, immune system toxicity
EFO:0009946	low density lipoprotein triglyceride measurement
EFO:0004783	TEMPS-A questionnaire
EFO:1000941	frozen shoulder
EFO:0008601	pemphigus foliaceus
EFO:0007144	amebiasis
EFO:1001436	thyroid nodule
EFO:0009761	periprosthetic osteolysis
EFO:0007537	vestibular neuronitis
EFO:0021525	renal overload-type gout
EFO:0600004	retinal nerve fibre layer thickness measurement
EFO:0600005	ganglion cell inner plexiform layer thickness measurement
EFO:0600002	retinal layer thickness measurement
EFO:0009552	hemorrhoid
EFO:0008615	Cystic Kidney Disease
EFO:0002427	myeloid neoplasm
MONDO:0021661	coronary atherosclerosis
EFO:0005775	aortic disease
EFO:0008493	cerebral small vessel disease
EFO:0003860	pancreatic neoplasm
MONDO:0004790	FEV change measurement, fatty liver disease
EFO:1000273	Gastric Metaplasia
OBA:2001017	atopic eczema, age of onset of allergic disease
EFO:0005803	hematologic disease
MONDO:0002243	hemorrhagic disease
EFO:0009477	vertebral joint disease
EFO:1001155	retinal drusen
EFO:0009606	macular degeneration
MONDO:0003608	optic atrophy
EFO:0007493	spondylolisthesis
EFO:1001375	Myocardial Ischemia
EFO:0000589	metabolic disease
EFO:0020941	lysophosphatidylcholine 15:0 measurement
EFO:0009714	chronic disease
EFO:0005799	neonatal abstinence syndrome
EFO:0600096	permanent dental caries
MONDO:0600030	B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)
EFO:0005530	Trypanosoma cruzi seropositivity
MONDO:0024633	hypertensive nephropathy
EFO:0007386	Mycobacterium avium complex disease
EFO:1001791	femoral hernia
EFO:0009029	Central precocious puberty
MONDO:0001336	familial hyperlipidemia
EFO:0009341	Helicobacter pylori seropositivity
EFO:0009344	Rubella virus seropositivity
EFO:0020863	response to clopidogrel, response to acetylsalicylate, major adverse cardiovascular event measurement
EFO:0007527	tropical spastic paraparesis
EFO:0007187	bullous pemphigoid
Orphanet:95711	Congenital hypothyroidism due to developmental anomaly
EFO:0010056	liver iron measurement
MONDO:0000166	encephalopathy, acute, infection-induced
EFO:0003869	breast neoplasm
OBA:2040155	age of onset of stroke disorder
EFO:0008583	acute myocardial infarction
EFO:1001395	Phlebitis
EFO:0001063	deafness
MONDO:0002025	psychiatric disorder
EFO:0003875	peripheral vascular disease
EFO:0005223	acute stress reaction
MONDO:0000890	Zika virus congenital syndrome
EFO:0600064	serum lipopolysaccharide activity
EFO:0600077	cardiac troponin I change measurement
EFO:0020104	pelvis bone mineral density
EFO:0020105	trunk bone mineral density
EFO:0009909	albuminuria, glomerular filtration rate, stage 5 chronic kidney disease
EFO:0010357	lysophosphatidylcholine 16:0 measurement
EFO:0021473	phosphatidylcholine 36:0 measurement
EFO:0021811	lysophosphatidylcholine 26:1 measurement
EFO:0000771	bacterial disease
EFO:1001789	familial apolipoprotein B hypobetalipoproteinemia
MONDO:0002342	chondromalacia
OBA:2001009	age of onset of Parkinson disease
MONDO:0002907	intracranial thrombosis
EFO:0801132	C34:2 phosphatidylethanolamine measurement
EFO:0801136	C36:2 phosphatidylethanolamine measurement
EFO:0801143	C38:4 phosphatidylethanolamine measurement
MONDO:0003939	response to statin, muscle tissue disorder
MONDO:0002026	candidiasis
EFO:1000824	asphyxia neonatorum
EFO:0009048	Intrahepatic cholestasis of pregnancy
EFO:0021792	preeclampsia severity measurement
MONDO:0019640	posterior urethral valve
MONDO:0001823	sick sinus syndrome
MONDO:0001162	impulse control disorder
EFO:1001145	Raynaud disease
EFO:0007158	Diarrhea, Infantile, Astroviridae infectious disease
EFO:0007328	influenza
EFO:0010282	gastrointestinal disease
MONDO:0024355	respiratory tract infectious disorder
EFO:0011048	response to radiation, dermatological toxicity
MONDO:0019297	response to radiation, lymphedema
EFO:0021466	phosphatidylcholine 28:0 measurement
EFO:0021467	phosphatidylcholine 31:0 measurement
EFO:0021468	phosphatidylcholine 33:0 measurement
EFO:0021469	phosphatidylcholine 33:1 measurement
EFO:0021470	phosphatidylcholine 33:2 measurement
EFO:0021471	phosphatidylcholine 34:5 measurement
EFO:0021472	phosphatidylcholine 35:5 measurement
EFO:0021474	phosphatidylcholine 36:6 measurement
EFO:0021477	phosphatidylcholine 40:7 measurement
EFO:0021462	lysophosphatidylcholine 22:5 measurement
EFO:0021463	lysophosphatidylcholine 24:0 measurement
EFO:0021464	lysophosphatidylcholine 26:0 measurement
EFO:0021459	lysophosphatidylcholine 22:0 measurement
EFO:0021460	lysophosphatidylcholine 22:1 measurement
EFO:0021461	lysophosphatidylcholine 22:4 measurement
EFO:0021465	lysophosphatidylethanolamine 17:0 measurement
EFO:0008037	BMI-adjusted fasting blood insulin measurement
EFO:0021452	lysophosphatidylcholine 17:0 measurement
EFO:0021455	lysophosphatidylcholine 19:0 measurement
EFO:0021457	lysophosphatidylcholine 20:1 measurement
EFO:0021453	lysophosphatidylcholine 17:1 measurement
EFO:0021454	lysophosphatidylcholine 18:3 measurement
EFO:0021456	lysophosphatidylcholine 20:0 measurement
EFO:0021458	lysophosphatidylcholine 20:2 measurement
EFO:0021475	phosphatidylcholine 38:7 measurement
EFO:0021476	phosphatidylcholine 39:5 measurement
EFO:0021478	phosphatidylcholine 40:8 measurement
EFO:0011057	response to methotrexate, neurotoxicity
EFO:0009544	esophageal disease
MONDO:0020547	chronic graft versus host disease
OBA:2040167	age of onset of cervical dystonia
EFO:0021425	pigment dispersion syndrome, pigmentary glaucoma
EFO:0803381	fornix volume measurement
EFO:0803379	anti-GAD65 autoimmune neurological syndromes
EFO:0004540	chronic fatigue syndrome
EFO:1000863	tubal factor infertility, Chlamydophila infectious disease
Orphanet:101953	Rare dyslipidemia
EFO:0002496	actinic keratosis
EFO:0800001	intracranial germ cell tumor
MONDO:0002443	bruxism
MONDO:0001703	color vision disorder
EFO:0007272	testicular hydrocele, filarial elephantiasis
EFO:0005856	arthritis
MONDO:0002280	anemia
MONDO:0013626	psoriasis 14, pustular
MONDO:0001658	nontoxic goiter
EFO:0008624	vitreous body disease
MONDO:0001134	essential hypertension
EFO:0003830	prostatitis
EFO:1000848	breast cyst
EFO:0009620	rib fracture
EFO:1000015	aldosterone-producing adenoma
EFO:0000536	hyperplasia
MONDO:0019636	renal agenesis, unilateral
EFO:1001069	trait in response to triamcinolone acetonide, ocular hypertension
EFO:0803361	hoarding disorder
EFO:0009955	post-operative acute kidney injury
EFO:0000318	cardiomyopathy
EFO:1000652	acute pancreatitis
MONDO:0021108	meningitis
EFO:0803537	susceptibility to influenza measurement
OBA:2001000	age of onset of Alzheimer disease
EFO:0020921	hemorrhagic stroke
EFO:1000948	gastroparesis
MONDO:0001042	patellar tendinitis
EFO:0009688	chemotherapy-induced cytotoxicity measurement, stomatitis
MONDO:0015517	common variable immunodeficiency
EFO:0006890	fibrosis
EFO:1000726	lichen planus
EFO:0008517	oral lichen planus
MONDO:0004627	gastritis, duodenitis
MONDO:0044782	esophageal ulcer
MONDO:0003689	familial hemolytic anemia
